1,Accomack County
2,Albemarle County
101,Alexandria City
3,Alleghany County
4,Amelia County
5,Amherst County
6,Appomattox County
7,Arlington County
8,Augusta County
9,Bath County
10,Bedford County
11,Bland County
12,Botetourt County
102,Bristol City
13,Brunswick County
14,Buchanan County
15,Buckingham County
103,Buena Vista City
16,Campbell County
17,Caroline County
18,Carroll County
19,Charles City County
20,Charlotte County
104,Charlottesville City
136,Chesapeake City
21,Chesterfield County
22,Clarke County
202,Colonial Beach
106,Colonial Heights City
107,Covington City
23,Craig County
24,Culpeper County
25,Cumberland County
108,Danville City
26,Dickenson County
27,Dinwiddie County
28,Essex County
29,Fairfax County
109,Falls Church City
30,Fauquier County
31,Floyd County
32,Fluvanna County
135,Franklin City
33,Franklin County
34,Frederick County
110,Fredericksburg City
111,Galax City
35,Giles County
36,Gloucester County
37,Goochland County
38,Grayson County
39,Greene County
40,Greensville County
41,Halifax County
112,Hampton City
42,Hanover County
113,Harrisonburg City
43,Henrico County
44,Henry County
45,Highland County
114,Hopewell City
46,Isle of Wight County
48,King George County
50,King William County
49,King and Queen County
51,Lancaster County
52,Lee County
137,Lexington City
53,Loudoun County
54,Louisa County
55,Lunenburg County
115,Lynchburg City
56,Madison County
143,Manassas City
144,Manassas Park City
116,Martinsville City
57,Mathews County
58,Mecklenburg County
59,Middlesex County
60,Montgomery County
62,Nelson County
63,New Kent County
117,Newport News City
118,Norfolk City
65,Northampton County
66,Northumberland County
119,Norton City
67,Nottoway County
68,Orange County
69,Page County
70,Patrick County
120,Petersburg City
71,Pittsylvania County
142,Poquoson City
121,Portsmouth City
72,Powhatan County
73,Prince Edward County
74,Prince George County
75,Prince William County
77,Pulaski County
122,Radford City
78,Rappahannock County
123,Richmond City
79,Richmond County
124,Roanoke City
80,Roanoke County
81,Rockbridge County
82,Rockingham County
83,Russell County
139,Salem City
84,Scott County
85,Shenandoah County
86,Smyth County
87,Southampton County
88,Spotsylvania County
89,Stafford County
126,Staunton City
127,Suffolk City
90,Surry County
91,Sussex County
92,Tazewell County
128,Virginia Beach City
93,Warren County
94,Washington County
130,Waynesboro City
207,West Point
95,Westmoreland County
131,Williamsburg-James City County
132,Winchester City
96,Wise County
97,Wythe County
98,York County
